Sales Title,Location/Distance (Miles),Price (£),Mileage,Year,Fuel Type,Transmissions,Colour,Number of Doors,Engine Size,Number of Reviews,Rating,Body Type,CO2 Emissions (g/km)
Toyota Corolla 1.4 VVT-i T2 5dr,0.5,1595,111000,2002,Petrol,Manual,Grey,5,1.4 L,68,4.5,Hatchback,159
Nissan Almera 1.8 E 5dr,0.5,1795,82000,2002,Petrol,Automatic,Silver,5,1.8 L,49,4,Hatchback,188
Ford Fiesta 1.4 Ghia 5dr,0.5,1995,86000,2007,Petrol,Manual,Silver,5,1.4 L,373,4,Hatchback,147
Toyota Yaris 1.3 VVT-i Blue 5dr,0.5,1995,95000,2005,Petrol,Manual,Blue,5,1.3 L,155,4.5,Hatchback,133
Nissan Almera 1.8 SE 5dr,0.5,2095,110000,2005,Petrol,Automatic,Blue,5,1.8 L,49,4,Hatchback,187
Toyota Yaris 1.3 VVT-i 16v CDX 5dr,0.5,2195,114000,2001,Petrol,Manual,Green,5,1.3 L,155,4.5,Hatchback,160
Honda Civic 1.6 i-VTEC S 5dr,0.5,2295,92000,2003,Petrol,Automatic,Silver,5,1.6 L,184,4.5,Hatchback,169
Honda Civic 1.6 i-VTEC SE Executive 5dr,0.5,2395,82000,2003,Petrol,Automatic,Red,5,1.6 L,184,4.5,Hatchback,172
Toyota Corolla 1.4 VVT-i Colour Collection 5dr,0.5,2495,103000,2005,Petrol,Manual,Silver,5,1.4 L,68,4.5,Hatchback,159
Volkswagen Touran 1.6 S 5dr (5 Seats),0.5,2495,89000,2006,Petrol,Manual,Silver,5,1.6 L,30,4,Mpv,194
Nissan Note 1.6 16v SE 5dr,0.5,3195,99678,2007,Petrol,Automatic,Blue,5,1.6 L,78,4,Hatchback,166
BMW 3 SERIES 2.0 318i SE Touring Euro 4 5dr,0.5,3495,113000,2007,Petrol,Manual,Silver,5,2.0 L,50,4,Estate,182
Nissan Note 1.6 16V Tekna Auto Euro 4 5dr,0.5,3595,91000,2009,Petrol,Automatic,Grey,5,1.6 L,78,4,Hatchback,159
Toyota Corolla Verso 1.6 VVT-i T2 5dr,0.5,3695,95250,2009,Petrol,Manual,N/a,5,1.6 L,11,4.5,Mpv,178
Ford Focus 1.6 Style 5dr,0.5,3995,55000,2007,Petrol,Automatic,Silver,5,1.6 L,620,4,Estate,184
Audi A3 1.6 Sportback Euro 4 5dr,0.5,3995,99000,2009,Petrol,Manual,Silver,5,1.6 L,76,4.5,Hatchback,164
Vauxhall Astra 1.6 16V Exclusiv Sports Tourer Auto Euro 5 5dr,0.5,4195,69000,2011,Petrol,Automatic,Grey,5,1.6 L,368,4,Estate,169
Toyota Auris 1.6 V-Matic Icon Euro 5 5dr,0.5,6295,82503,2014,Petrol,Manual,Grey,5,1.6 L,63,4.5,Hatchback,138
Toyota Auris 1.8 VVT-h T Spirit CVT Euro 5 (s/s) 5dr,0.5,6295,115000,2010,Hybrid,Automatic,Silver,5,1.8 L,63,4.5,Hatchback,93
Volkswagen Golf 1.4 TSI S DSG Euro 5 5dr,0.5,6695,57000,2009,Petrol,Automatic,Grey,5,1.4 L,157,4.5,Hatchback,138
Ford Mondeo 2.0 TDCi Titanium Powershift Euro 6 (s/s) 5dr,0.5,7995,131000,2017,Diesel,Automatic,Black,5,2.0 L,295,4.5,Hatchback,124
Audi S3 2.0 TFSI S Tronic quattro 5dr,0.5,8495,104000,2009,Petrol,Automatic,Black,5,2.0 L,3,4.5,Hatchback,195
Volkswagen Polo 1.2 TSI BlueMotion Tech SE DSG Euro 6 (s/s) 5dr,0.5,9295,70505,2015,Petrol,Automatic,Black,5,1.2 L,151,4,Hatchback,109
Mercedes CLA 4.0 E63 V8 BiTurbo AMG S Edition 1 SpdS MCT 4MATIC+ Euro 6 (s/s),0.5,79995,32000,2017,Petrol,Automatic,Black,4,4.0 L,1,5,Saloon,207
BMW 4 SERIES M4,1,33990,29000,2017,Petrol,Semi auto,White,2,3.0 L,2,4.5,Coupe,194
Land Rover Range Rover Sport 3.0 SDV6 HSE,1,55990,9800,2019,Diesel,Automatic,Green,5,3.0 L,16,4.5,Estate,198
Rolls-Royce Ghost V12 SWB,1,79990,59000,2012,Petrol,Automatic,Silver,4,6.6 L,1,4,Saloon,317
Bentley Bentayga W12,1,82990,46000,2016,Petrol,Automatic,White,5,6.0 L,1,4.5,Estate,296
Land Rover Range Rover SE,1,119990,8500,2022,Diesel,Automatic,Black,5,3.0 L,36,4,Suv,202
Dacia Sandero 1L Ambiance SCe,2,7549,22414,2018,Petrol,Manual,White,5,1.0 L,15,4,Hatchback,117
Vauxhall Viva 1L SE i,2,7599,9664,2016,Petrol,Manual,Red,5,1.0 L,3,4.5,Hatchback,104
Hyundai i10 1.2L SE,2,7699,40699,2016,Petrol,Manual,Blue,5,1.2 L,58,4,Hatchback,114
Kia Picanto 1L SR7,2,7699,14495,2015,Petrol,Manual,White,3,1.0 L,61,4,Hatchback,105
Vauxhall Corsa 1.4L Energy ecoFLEX i,2,7849,54681,2016,Petrol,Manual,Grey,3,1.4 L,268,4,Hatchback,118
DS DS 3 1.6L DStyle Nav BlueHDi,2,7949,54023,2015,Diesel,Manual,Red,3,1.6 L,1,4.5,Hatchback,87
Toyota AYGO 1L x-play VVT-i,2,7999,56845,2017,Petrol,Manual,Red,5,1.0 L,41,4,Hatchback,95
Smart forfour 1L Prime,2,8099,34721,2016,Petrol,Manual,Blue,5,1.0 L,3,4,Hatchback,97
Dacia Sandero 1L Ambiance SCe,2,8149,20488,2017,Petrol,Manual,Grey,5,1.0 L,15,4,Hatchback,117
Dacia Sandero 1L Ambiance SCe,2,8199,24080,2018,Petrol,Manual,Blue,5,1.0 L,15,4,Hatchback,117
Toyota AYGO 1L x-play VVT-i,2,8199,24621,2016,Petrol,Manual,Red,5,1.0 L,41,4,Hatchback,95
Fiat 500 1.2L S,2,8199,44135,2017,Petrol,Manual,Red,3,1.2 L,44,4.5,Hatchback,110
Vauxhall ADAM 1.2L ENERGISED ecoFLEX i,2,8199,34930,2016,Petrol,Manual,Blue,3,1.2 L,3,4.5,Hatchback,125
Fiat 500 1.2L S,2,8299,24132,2017,Petrol,Manual,Black,3,1.2 L,44,4.5,Hatchback,110
Renault Zoe Dynamique Nav,2,8349,44917,2015,Electric,Automatic,White,5,N/A,0,N/A,Hatchback,0
Renault Clio 1.5L Dynamique S Nav dCi,2,8449,60059,2017,Diesel,Manual,White,5,1.5 L,115,4,Hatchback,85
Peugeot 208 1.2L Active Design PureTech,2,8549,42029,2016,Petrol,Manual,Blue,3,1.2 L,24,4.5,Hatchback,104
Fiat 500X 1.6L Pop Star MultiJetII,2,8549,32474,2015,Diesel,Manual,Red,5,1.6 L,44,4.5,Suv,109
Nissan Leaf Visia,2,8599,22148,2016,Electric,Automatic,White,5,N/A,7,4.5,Hatchback,0
Ford EcoSport 1L Zetec EcoBoost T,2,8699,26814,2016,Petrol,Manual,Yellow,5,1.0 L,3,4.5,Suv,125
Ssangyong Tivoli 1.6L ELX e-XDi,2,8749,68569,2016,Diesel,Manual,Black,5,1.6 L,0,N/A,Suv,113
Dacia Sandero Stepway 1.5L Comfort Blue dCi,2,8799,74948,2019,Petrol,Manual,Black,5,1.5 L,15,4,Hatchback,103
Ford Fiesta 1L Titanium EcoBoost T,2,8949,62733,2017,Petrol,Manual,Black,5,1.0 L,373,4,Hatchback,99
Seat Ibiza 1L Vista,2,8999,28487,2015,Petrol,Manual,Blue,3,1.0 L,47,4,Hatchback,118
Vauxhall Insignia 2L SRi Nav CDTi,2,8999,64152,2016,Diesel,Manual,Black,5,2.0 L,96,4.5,Hatchback,118
Vauxhall Insignia 1.4L SRi i Turbo,2,9049,42823,2015,Petrol,Manual,Silver,5,1.4 L,96,4.5,Hatchback,129
Nissan Leaf Tekna,2,9049,46520,2015,Electric,Automatic,White,5,N/A,7,4.5,Hatchback,0
Vauxhall Corsa 1.4L SRi ecoTEC i,2,9099,38492,2018,Petrol,Manual,Red,5,1.4 L,268,4,Hatchback,118
Seat Toledo 1L XCELLENCE TSI,2,9149,60278,2017,Petrol,Manual,Silver,5,1.0 L,3,4,Hatchback,106
Fiat 500 1.2L Lounge,2,9149,36851,2018,Petrol,Manual,Red,3,1.2 L,44,4.5,Hatchback,110
Peugeot 208 1.2L Tech Edition PureTech,2,9149,64001,2019,Petrol,Manual,Silver,5,1.2 L,24,4.5,Hatchback,110
Jeep Renegade 1.6L Limited MultiJetII,2,9199,62917,2016,Diesel,Manual,Red,5,1.6 L,0,N/A,Suv,115
Toyota AYGO 1L x-play VVT-i,2,9249,40862,2018,Petrol,Manual,Red,5,1.0 L,41,4,Hatchback,93
Skoda Fabia 1.2L SE TSI,2,9249,42538,2016,Petrol,Manual,Blue,5,1.2 L,153,4,Hatchback,107
Vauxhall Corsa 1.4L Energy ecoTEC i,2,9299,32860,2018,Petrol,Manual,Black,3,1.4 L,268,4,Hatchback,130
Peugeot 2008 1.6L Allure BlueHDi,2,9299,60818,2016,Diesel,Manual,Red,5,1.6 L,14,4.5,Suv,97
Renault Captur 0.9L Dynamique Nav TCe ENERGY,2,9349,56941,2016,Petrol,Manual,Black,5,0.9 L,9,4.5,Suv,114
